Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
DA Warner (DC),2024-2024,8,8,0,168,52,21,125,134.4,0,1,0,17,10
RK Singh (KKR),2024-2024,14,11,2,168,26,18.66,113,148.67,0,0,0,13,8
A Raghuvanshi (KKR),2024-2024,10,7,0,163,54,23.28,105,155.23,0,1,0,16,8
MS Dhoni (CSK),2024-2024,14,11,8,161,37*,53.66,73,220.54,0,0,1,14,13
S Dhawan (PBKS),2024-2024,5,5,0,152,70,30.4,121,125.61,0,1,0,18,4
DJ Hooda (LSG),2024-2024,11,9,1,145,50,18.12,105,138.09,0,1,1,16,3
Naman Dhir (MI),2024-2024,7,7,1,140,62*,23.33,79,177.21,0,1,2,12,10
WP Saha (GT),2024-2024,9,9,0,136,39,15.11,115,118.26,0,0,0,18,3
KH Pandya (LSG),2024-2024,14,12,8,133,43*,33.25,105,126.66,0,0,0,8,5
DC Jurel (RR),2024-2024,13,9,2,131,52*,18.71,98,133.67,0,1,1,10,5
MM Ali (CSK),2024-2024,8,5,0,128,56,25.6,98,130.61,0,1,0,7,8
M Shahrukh Khan (GT),2024-2024,7,7,0,127,58,18.14,75,169.33,0,1,1,9,9
Ramandeep Singh (KKR),2024-2024,14,9,5,125,35,31.25,62,201.61,0,0,0,5,12
RA Tripathi (SRH),2024-2024,4,4,0,119,55,29.75,87,136.78,0,1,0,12,4
LS Livingstone (PBKS),2024-2024,7,7,2,111,38*,22.2,78,142.3,0,0,1,8,7
N Wadhera (MI),2024-2024,6,6,0,109,49,18.16,84,129.76,0,0,0,9,6
PJ Cummins (SRH),2024-2024,14,8,3,107,35*,21.4,71,150.7,0,0,0,6,7
Rashid Khan (GT),2024-2024,12,8,3,102,31,20.4,71,143.66,0,0,1,11,3
Anuj Rawat (RCB),2024-2024,5,5,1,98,48,24.5,77,127.27,0,0,0,10,3
MK Lomror (RCB),2024-2024,9,9,2,93,33,13.28,51,182.35,0,0,2,7,7
R Ashwin (RR),2024-2024,13,7,2,86,29,17.2,71,121.12,0,0,0,5,4
Arshad Khan (LSG),2024-2024,4,4,2,83,58*,41.5,54,153.7,0,1,1,6,5
V Shankar (GT),2024-2024,7,7,2,83,17,16.6,72,115.27,0,0,0,7,2
SO Hetmyer (RR),2024-2024,10,7,4,83,27*,27.66,45,184.44,0,0,1,6,6
R Powell (RR),2024-2024,8,5,0,81,27,16.2,48,168.75,0,0,0,8,5
Harpreet Brar (PBKS),2024-2024,13,7,5,75,29,37.5,54,138.88,0,0,0,8,2
D Brevis (MI),2024-2024,3,3,0,69,46,23,59,116.94,0,0,1,3,5
MA Agarwal (SRH),2024-2024,4,4,0,64,32,16,57,112.28,0,0,0,8,1
A Taide (PBKS),2024-2024,2,2,0,61,46,30.5,39,156.41,0,0,0,7,2
MR Marsh (DC),2024-2024,4,4,0,61,23,15.25,38,160.52,0,0,1,9,3
R Shepherd (MI),2024-2024,6,5,3,57,39*,28.5,21,271.42,0,0,0,5,5
GJ Maxwell (RCB),2024-2024,9,8,0,52,28,6.5,42,123.8,0,0,3,6,2
Sameer Rizvi (CSK),2024-2024,8,5,1,51,21,12.75,43,118.6,0,0,1,4,2
Kuldeep Yadav (DC),2024-2024,11,5,2,47,35*,15.66,41,114.63,0,0,1,6,1
Sikandar Raza (PBKS),2024-2024,2,2,0,43,28,21.5,38,113.15,0,0,0,2,2
MK Pandey (KKR),2024-2024,1,1,0,42,42,42,31,135.48,0,0,0,2,2
N Rana (KKR),2024-2024,2,2,0,42,33,21,34,123.52,0,0,0,5,1
Azmatullah Omarzai (GT),2024-2024,7,4,0,42,17,10.5,33,127.27,0,0,0,2,2
D Padikkal (LSG),2024-2024,7,7,0,38,13,5.42,53,71.69,0,0,2,3,0
Mohammad Nabi (MI),2024-2024,7,5,1,35,23,8.75,31,112.9,0,0,1,2,2
SB Dubey (RR),2024-2024,4,3,1,33,25,16.5,19,173.68,0,0,1,3,2
Swapnil Singh (RCB),2024-2024,6,4,2,28,15*,14,17,164.7,0,0,1,3,2
Rasikh Salam (DC),2024-2024,8,4,0,28,10,7,30,93.33,0,0,0,4,0
KS Williamson (GT),2024-2024,2,2,0,27,26,13.5,27,100,0,0,0,4,0
Harpreet Singh (PBKS),2024-2024,2,2,0,27,14,13.5,34,79.41,0,0,0,2,0
KV Sharma (RCB),2024-2024,8,2,0,26,20,13,11,236.36,0,0,0,1,3
SS Prabhudessai (RCB),2024-2024,1,1,0,24,24,24,18,133.33,0,0,0,3,0
TK Kotian (RR),2024-2024,1,1,0,24,24,24,31,77.41,0,0,0,3,0
Rahmanullah Gurbaz (KKR),2024-2024,2,1,0,23,23,23,14,164.28,0,0,0,2,2
B Kumar (SRH),2024-2024,14,4,1,23,13,7.66,28,82.14,0,0,1,3,0
AJ Turner (LSG),2024-2024,2,2,0,21,16,10.5,18,116.66,0,0,0,0,2
RD Chahar (PBKS),2024-2024,9,2,1,21,16,21,15,140,0,0,0,3,1
Yudhvir Singh (LSG),2024-2024,2,2,0,21,14,10.5,14,150,0,0,0,1,2
SN Thakur (CSK),2024-2024,9,3,2,21,17,21,17,123.52,0,0,0,2,1
K Rabada (PBKS),2024-2024,11,3,2,20,11*,20,14,142.85,0,0,0,0,2
Gulbadin Naib (DC),2024-2024,2,1,0,19,19,19,15,126.66,0,0,0,1,1
T Kohler-Cadmore (RR),2024-2024,2,1,0,18,18,18,23,78.26,0,0,0,2,1
M Jansen (SRH),2024-2024,3,2,1,18,17,18,13,138.46,0,0,0,1,1
Sumit Kumar (DC),2024-2024,4,3,1,18,9*,9,24,75,0,0,0,2,1
SD Chauhan (RCB),2024-2024,3,3,0,18,9,6,15,120,0,0,1,1,1
JD Unadkat (SRH),2024-2024,9,3,2,15,8*,15,13,115.38,0,0,0,1,1
PP Chawla (MI),2024-2024,11,6,2,15,10,3.75,15,100,0,0,2,1,1
MJ Santner (CSK),2024-2024,3,3,0,14,11,4.66,17,82.35,0,0,1,1,0
Sanvir Singh (SRH),2024-2024,4,3,2,14,8*,14,12,116.66,0,0,1,1,0
TA Boult (RR),2024-2024,14,4,2,14,12,7,13,107.69,0,0,1,2,0
G Coetzee (MI),2024-2024,10,5,1,14,8,3.5,22,63.63,0,0,1,0,1
R Sai Kishore (GT),2024-2024,5,2,1,13,13,13,6,216.66,0,0,0,0,2
HV Patel (PBKS),2024-2024,14,4,1,13,12,4.33,19,68.42,0,0,2,1,1
DG Nalkande (GT),2024-2024,3,1,0,12,12,12,11,109.09,0,0,0,0,1
UT Yadav (GT),2024-2024,7,2,1,12,10*,12,15,80,0,0,0,0,1
Mohammed Siraj (RCB),2024-2024,13,3,1,12,12,6,8,150,0,0,1,0,2
JJ Bumrah (MI),2024-2024,13,4,4,12,8*,0,12,100,0,0,0,1,0
Lalit Yadav (DC),2024-2024,2,2,0,10,7,5,12,83.33,0,0,0,1,0
Avesh Khan (RR),2024-2024,14,3,3,10,7*,0,5,200,0,0,0,1,0
L Wood (MI),2024-2024,2,1,1,9,9*,0,3,300,0,0,0,0,1
A Manohar (GT),2024-2024,2,2,0,9,8,4.5,16,56.25,0,0,0,1,0
AA Kulkarni (LSG),2024-2024,2,2,0,9,9,4.5,8,112.5,0,0,1,2,0
MA Starc (KKR),2024-2024,13,5,3,9,6*,4.5,11,81.81,0,0,2,1,0
D Ferreira (RR),2024-2024,2,2,0,8,7,4,11,72.72,0,0,0,0,0
V Viyaskanth (SRH),2024-2024,3,1,1,7,7*,0,5,140,0,0,0,0,0
SH Johnson (GT),2024-2024,5,3,3,6,5*,0,7,85.71,0,0,0,1,0
Anmolpreet Singh (SRH),2024-2024,2,2,0,5,5,2.5,6,83.33,0,0,1,1,0
Noor Ahmad (GT),2024-2024,10,4,2,5,4,2.5,9,55.55,0,0,0,1,0
MS Wade (GT),2024-2024,2,1,0,4,4,4,6,66.66,0,0,0,0,0
Arshdeep Singh (PBKS),2024-2024,14,1,0,4,4,4,3,133.33,0,0,0,1,0
A Madhwal (MI),2024-2024,5,1,1,4,4*,0,5,80,0,0,0,0,0
A Nortje (DC),2024-2024,6,2,0,4,4,2,8,50,0,0,1,0,0
Ravi Bishnoi (LSG),2024-2024,14,3,0,4,2,1.33,6,66.66,0,0,1,0,0
RJW Topley (RCB),2024-2024,4,1,1,3,3*,0,6,50,0,0,0,0,0
AS Roy (KKR),2024-2024,4,1,1,3,3*,0,3,100,0,0,0,0,0
RK Bhui (DC),2024-2024,2,2,0,3,3,1.5,9,33.33,0,0,1,0,0
Mukesh Kumar (DC),2024-2024,10,2,1,3,3,3,9,33.33,0,0,0,0,0
K Kushagra (DC),2024-2024,4,3,0,3,2,1,7,42.85,0,0,1,0,0
